Timestamp,Drip Interval (s),Error (s),Film Thickness (m),Error (m),Temperature (degC),Error (degC),pCO2 (atm),Error (atm),cCa (mol/m3),Error (mol/m3)
2/28/2004 00:00,1.500050066,1,0.0001,0.00005,22.05,1.909188309,0.000545455,0.00003,2.345426418,0.247005712
4/28/2004 00:00,1.163620123,1,0.0001,0.00005,22.05,1.909188309,0.001090909,0.00003,2.345426418,0.247005712
6/25/2004 00:00,1.144516693,1,0.0001,0.00005,22.05,1.909188309,0.003584416,0.00003,2.345426418,0.247005712
8/25/2004 00:00,1.338304631,1,0.0001,0.00005,22.05,1.909188309,0.004987013,0.00003,2.345426418,0.247005712
10/21/2004 00:00,1.598997865,1,0.0001,0.00005,22.05,1.909188309,0.006350649,0.00003,2.345426418,0.247005712
11/21/2004 00:00,1.156116823,1,0.0001,0.00005,22.05,1.909188309,0.003194805,0.00003,2.345426418,0.247005712
12/21/2004 00:00,1.880544242,1,0.0001,0.00005,22.05,1.909188309,0.001597403,0.00003,2.345426418,0.247005712
2/18/2005 00:00,2.166425645,1,0.0001,0.00005,22.05,1.909188309,0.000584416,0.00003,2.345426418,0.247005712
3/19/2005 00:00,2.41103521,1,0.0001,0.00005,22.05,1.909188309,0.000584416,0.00003,2.345426418,0.247005712
4/17/2005 00:00,2.825861419,1,0.0001,0.00005,22.05,1.909188309,0.000701299,0.00003,2.345426418,0.247005712
5/19/2005 00:00,2.58498217,1,0.0001,0.00005,22.05,1.909188309,0.001207792,0.00003,2.345426418,0.247005712
6/21/2005 00:00,2.553019257,1,0.0001,0.00005,22.05,1.909188309,0.003272727,0.00003,2.345426418,0.247005712
7/20/2005 00:00,3.772876091,1,0.0001,0.00005,22.05,1.909188309,0.004948052,0.00003,2.345426418,0.247005712
8/22/2005 00:00,3.982381262,1,0.0001,0.00005,22.05,1.909188309,0.007324675,0.00003,2.345426418,0.247005712
9/14/2005 00:00,2.077913571,1,0.0001,0.00005,22.05,1.909188309,0.006623377,0.00003,2.345426418,0.247005712
10/13/2005 00:00,2.18386569,1,0.0001,0.00005,22.05,1.909188309,0.006584416,0.00003,2.345426418,0.247005712
11/11/2005 00:00,2.017801823,1,0.0001,0.00005,22.05,1.909188309,0.004558442,0.00003,2.345426418,0.247005712
12/25/2005 00:00,2.228074959,1,0.0001,0.00005,22.05,1.909188309,0.001558442,0.00003,2.345426418,0.247005712
1/21/2006 00:00,2.350426233,1,0.0001,0.00005,22.05,1.909188309,0.000584416,0.00003,2.345426418,0.247005712
2/20/2006 00:00,2.972780791,1,0.0001,0.00005,22.05,1.909188309,0.00074026,0.00003,2.345426418,0.247005712
3/21/2006 00:00,3.344765567,1,0.0001,0.00005,22.05,1.909188309,0.001090909,0.00003,2.345426418,0.247005712
4/20/2006 00:00,3.628296555,1,0.0001,0.00005,22.05,1.909188309,0.001246753,0.00003,2.345426418,0.247005712
6/9/2006 00:00,4.655645718,1,0.0001,0.00005,22.05,1.909188309,0.002844156,0.00003,2.345426418,0.247005712
7/21/2006 00:00,5.951072564,1,0.0001,0.00005,22.05,1.909188309,0.004792208,0.00003,2.345426418,0.247005712
8/19/2006 00:00,7.142043649,1,0.0001,0.00005,22.05,1.909188309,0.006662338,0.00003,2.345426418,0.247005712
9/18/2006 00:00,5.482798585,1,0.0001,0.00005,22.05,1.909188309,0.007519481,0.00003,2.345426418,0.247005712
10/22/2006 00:00,5.479010891,1,0.0001,0.00005,22.05,1.909188309,0.004558442,0.00003,2.345426418,0.247005712
