Timestamp,Drip Interval (s),Error (s),Film Thickness (m),Error (m),Temperature (degC),Error (degC),pCO2 (atm),Error (atm),cCa (mol/m3),Error (mol/m3)
10/07/2012 00:00:00,0.666666667,0.007490637,0.0001,0.00005,22.2,0.01,0.000829,0.00003,1.624055314,0.02722444
11/19/2012 00:00:00,0.75,0.009493671,0.0001,0.00005,22.9,0.01,0.000820,0.00003,1.624055314,0.02722444
12/01/2012 00:00:00,0.652173913,0.007166746,0.0001,0.00005,23,0.01,0.000814,0.00003,1.624055314,0.02722444
03/04/2013 00:00:00,0.714285714,0.008605852,0.0001,0.00005,21.8,0.1,0.000593,0.00003,1.624055314,0.02722444
04/02/2013 00:00:00,0.722891566,0.008815751,0.0001,0.00005,22.8,0.01,0.000763,0.00003,1.624055314,0.02722444
04/28/2013 00:00:00,0.722891566,0.008815751,0.0001,0.00005,22.8,0.01,0.000757,0.00003,1.624055314,0.02722444
05/30/2013 00:00:00,0.681818182,0.007836991,0.0001,0.00005,22.3,0.01,0.001260,0.00003,1.624055314,0.02722444
07/03/2013 00:00:00,0.681818182,0.007836991,0.0001,0.00005,22.3,0.01,0.001633,0.00003,1.624332552,0.01
07/19/2013 00:00:00,0.689655172,0.008019246,0.0001,0.00005,22.4,0.01,0.001710,0.00003,1.661759569,0.01
08/18/2013 00:00:00,0.674157303,0.007660878,0.0001,0.00005,22.5,0.01,0.001870,0.00003,1.626827686,0.01
09/02/2013 00:00:00,0.666666667,0.007490637,0.0001,0.00005,22.4,0.01,0.001770,0.00003,1.629322821,0.01
09/30/2013 00:00:00,0.666666667,0.007490637,0.0001,0.00005,22.3,0.01,0.001110,0.00003,1.624332552,0.01
11/04/2013 00:00:00,0.652173913,0.007166746,0.0001,0.00005,22.3,0.01,0.000860,0.00003,1.619342283,0.01
11/29/2013 00:00:00,0.666666667,0.007490637,0.0001,0.00005,22.7,0.01,0.000830,0.00003,1.626827686,0.01
01/06/2014 00:00:00,0.64516129,0.007012623,0.0001,0.00005,22.4,0.01,0.000630,0.00003,1.611856879,0.01
02/09/2014 00:00:00,0.681818182,0.007836991,0.0001,0.00005,22.6,0.01,0.000580,0.00003,1.591895803,0.01
04/08/2014 00:00:00,0.705882353,0.008403361,0.0001,0.00005,22.5,0.01,0.000670,0.00003,1.624055314,0.02722444
05/31/2014 00:00:00,0.714285714,0.008605852,0.0001,0.00005,22.3,0.01,0.000930,0.00003,1.624055314,0.02722444
07/03/2014 00:00:00,0.759493671,0.009737098,0.0001,0.00005,22.5,0.01,0.001390,0.00003,1.624055314,0.02722444
08/01/2014 00:00:00,0.740740741,0.009259259,0.0001,0.00005,22.48,0.01,0.001570,0.00003,1.624055314,0.02722444
09/04/2014 00:00:00,0.705882353,0.008403361,0.0001,0.00005,23,0.01,0.001880,0.00003,1.624055314,0.02722444
10/04/2014 00:00:00,0.681818182,0.007836991,0.0001,0.00005,22.62,0.1,0.000970,0.00003,1.624055314,0.02722444
12/05/2014 00:00:00,0.689655172,0.008019246,0.0001,0.00005,22.29,0.01,0.000940,0.00003,1.624055314,0.02722444
01/13/2015 00:00:00,0.722891566,0.008815751,0.0001,0.00005,22.3,0.01,0.000750,0.00003,1.624055314,0.02722444
02/18/2015 00:00:00,0.75,0.009493671,0.0001,0.00005,22.3,0.01,0.000640,0.00003,1.624055314,0.02722444
04/19/2015 00:00:00,0.689655172,0.008019246,0.0001,0.00005,22.87,0.01,0.000780,0.00003,1.624055314,0.02722444
07/02/2015 00:00:00,0.689655172,0.008019246,0.0001,0.00005,22.8,0.01,0.001410,0.00003,1.624055314,0.02722444
